50;222974790;249344303;255853039;259406468;302300903;256949018;3867545
100;479268312;501520758;514242657;520879474;547129527;512607537;3861798
150;769605950;814607155;827869293;840828881;997575901;832140772;10406475
200;1053294865;1114439212;1133247837;1174248560;1374436002;1150302103;17160918
250;1347713034;1403914765;1423028403;1445675354;1514311623;1429062984;10029167
300;1634709890;1692022888;1716632518;1733769931;1845717310;1714584838;10851185
350;1898198121;1979121553;2005629409;2021975347;2104626641;2002653027;12416337
400;2184222053;2264418050;2297249500;2347125585;2571002690;2312469267;20003529
450;2114346436;2474942703;2513493875;2554615702;2821436913;2484613004;39023338
500;2714958023;2807430509;2834917858;2855149332;2908789030;2833729060;9892356
550;2953534484;3129759679;3152678393;3207891190;3355362594;3171670501;21159351
600;3375834220;3456305673;3507196145;3564639277;4045959350;3525562922;30257420
650;3733499812;3793166710;3842865043;3931548874;4501397192;3901445690;47083708
700;3902291379;4145148703;4226156701;4324776258;5536500029;4373255110;108796825
750;4488138338;4536918344;4577786471;4664000637;4766312788;4598726882;21193905
800;4787523343;4899780250;4954223740;5032639329;5227891132;4974727780;27106090
850;5330114612;5428669718;5497654926;5559696251;5744444585;5503212946;26634323
900;4915166811;5759447724;5940546980;6032643433;7847659872;6004221609;120237698
950;6278789404;6558588268;6770077633;7249897679;10036245303;7069647198;217586495
1000;6998942511;7251777843;7319524934;7434979353;8077187734;7366103358;56194326
