50;81005535;92166652;93302961;95672050;103493206;93511502;1038983
100;174480091;183187963;185029128;188204061;194225513;185294239;1154436
150;239712770;274010174;277981097;280009048;295593477;276621639;2183336
200;337821234;367758134;371051706;377328500;478632833;374718182;5375113
250;385948931;442055422;457899298;465820620;524613120;452422321;7162054
300;514072703;542246436;547270333;553017151;564887640;546601274;2986762
350;615707092;645556962;650576755;657115458;671433855;651241364;2766588
400;700708593;734629552;740820958;745605936;754731302;739358059;3082558
450;803342998;831226084;835117780;840909342;850780207;835062277;2948398
500;876183364;920951807;930805839;937619999;963086376;929382628;4780910
550;1003258678;1028639258;1035441512;1042563969;1072049712;1035805640;3409157
600;1093110018;1131170625;1137555794;1147802691;1268041677;1142788571;7089446
650;1181869795;1215763661;1224030638;1233324726;1278020097;1223997024;4308705
700;1277366144;1316095891;1326646981;1336546582;1378479587;1327486503;4854941
750;1372059934;1404826111;1418028315;1430832318;1457884930;1416883852;5369178
800;1474965281;1493768979;1500705882;1512160518;1543885627;1503343105;3938081
850;1546340924;1592571626;1605533267;1613038736;1629217593;1601614338;4648053
900;1604224130;1687782667;1702500907;1711553611;1828215358;1701607220;9538072
950;1737332802;1772582603;1787626793;1810397720;1878440793;1792495376;8716251
1000;1835066054;1875513813;1889568248;1905512700;1982777611;1896242150;8591685
